シリーズ名・書名,発売日,著者
わが家は祇園の拝み屋さん（３）,1,蒼崎律／望月麻衣ほか
聖女二人の異世界ぶらり旅（３）,1,文月路亜／カヤほか
大公妃候補だけど、堅実に行こうと思います（２）,1,渡まかな／瀬尾優梨ほか
カードキャプターさくら　クリアカード編（８）,1,ＣＬＡＭＰ
愛しすぎです、青桐くん。（１）,1,千種あかり
蛇神さまと贄の花姫（２）,1,蓮水りく
世話がやけますハーデス様（２）,1,霜月星良
キョーダイなんかじゃいられない！（１）,1,辻永ひつじ
今日からパパは神様です。（１）,1,寺本実月
番犬ハニー♥（４）,1,如月ゆきの
片想いミステイク！（１）,1,森田ゆき
ねこぱんち　ウルトラスーパーカーニバル　2020,1,アンソロジー
モテ系王子の恋愛コマンド,1,青丸夏々
高嶺の花は、散らされたい（下）,1,左京亜也
高嶺の花は、散らされたい（上）,1,左京亜也
藤森くん、神宮くんを拾う。,1,会川フゥ
金魚の産声,1,ごんたくにど
狐のお婿さん,1,れもんえんど
ゴールデン桜（２）,1,岡田紗佳／前川かずお
本好きの下剋上　第二部　本のためなら巫女になる！（３）,1,鈴華
クレタの聖像,1,真崎春望／シャーロット・ラム
胸に秘めた愛,1,三浦浩子／ステファニー・ハワード
砂漠の魔法に魅せられて,1,藤峰ゆき／キャロル・マリネッリ
邪悪な天使（１）,1,ＪＥＴ／リン・グレアム
裏切りのゆくえ,1,藤臣美弥子／サラ・モーガン
屈辱のプリンセス,1,桜屋響／ジェニー・ルーカス
砂漠に咲いた薔薇,1,汐宮ゆき／メレディス・ウェバー
フェルミ研究所　赤,2,フェルミ研究所
フェルミ研究所　緑,2,フェルミ研究所
催眠術で女の子をいいなりにできるアンソロジーコミック（２）,3,アンソロジー
あなたに捧げる赤い薔薇（１）,3,一メルカ／ｊｕｐｉｔｅｒほか
ある日、お姫様になってしまった件について（３）,3,Ｓｐｏｏｎ／Ｐｌｕｔｕｓ
STEINS；GATE 0（５）,3,姫乃タカ／ＭＡＧＥＳ．／Ｃｈｉｙｏ　Ｓｔ．　Ｉｎｃ．
STEINS；GATE 0（６）,3,姫乃タカ／ＭＡＧＥＳ．／Ｃｈｉｙｏ　Ｓｔ．　Ｉｎｃ．
悪役令嬢？　いいえ、極悪令嬢ですわ（１）,3,浅名ゆうな／斯波浅人ほか
山田とせんせい（上）,3,五十嵐藍
夫婦以上、恋人未満。（４）,3,金丸祐基
酒と涙と男とニャンコ,3,小野ユーレイ
忍コイ！,3,猫乃森シマ
密着海水浴～オイルマッサージで感じちゃったの？～,3,城之内寧々
女たらしなオジサンが本気になったら。,3,南志都
溺愛エンゲージ～12歳年上のオジサマと～,3,田中琳
AGRAVITY BOYS（１）,3,中村充志
Dr.STONE（15）,3,稲垣理一郎／Ｂｏｉｃｈｉ
Fischer`s×ONE PIECE 七つなぎの大秘宝（２）,3,脂小路蝉麿
ONE PIECE（96）,3,尾田栄一郎
ONE PIECE学園（１）,3,小路壮平
PSYCHO-PASS サイコパス3（１）,3,橋野サル
ZIPMAN！！（１）,3,芝田優作
アンデッドアンラック（１）,3,戸塚慶文
おいしいコーヒーのいれ方（２）,3,青沼裕貴／雀村アオほか
カワイスギクライシス（１）,3,城戸みつる
キャプテン翼ライジングサン（13）,3,高橋陽一
この音とまれ！（22）,3,アミュー
ダーリン・イン・ザ・フランキス（８）,3,矢吹健太朗／脂小路
ドラゴンクエスト　蒼天のソウラ（15）,3,中島諭宇樹／堀井雄二ほか
ドラゴンボール超（12）,3,鳥山明／とよたろう
バトルスピリッツグランドナイツ,3,一式まさと／矢立肇
ブラッククローバー（24）,3,田畠裕基
ブラッククローバー外伝　カルテットナイツ（４）,3,田代弓也／田畠裕基
ぼくたちは勉強ができない（16）,3,筒井大志
むとうとさとう（４）,3,赤塚大将
めちゃめちゃ！ブサイくん（１）,3,小栗かずまた
ゆらぎ荘の幽奈さん（21）,3,ミウラタダヒロ
ワンピースパーティー（６）,3,安藤英／尾田栄一郎
左ききのエレン（12）,3,かっぴー／ｎｉｆｕｎｉ
生者の行進Revenge（１）,3,みつちよ丸／佐藤祐紀
底辺チューバーが宇宙戦争を撮ってみた（１）,3,渡辺恒造／バナーイ
夜桜さんちの大作戦（２）,3,権平ひつじ
爬虫類ちゃんは懐かない（２）,3,佐々木マサヒト
PLUS / SLAM DUNK ILLUSTRATIONS（２）,3,井上雄彦
ULTRAMAN アニメ化記念1～3巻SPECIALプライスパック,3,清水栄一／下口智裕
ULTRAMAN（15）,3,清水栄一／下口智裕
ヒメノスピア（６）,3,村田真哉／柳井伸彦
家政夫のナギサさん,3,四ツ原フリコ
美人なジュン君の溺愛指導（１）,3,ふどのふどう
美人なジュン君の溺愛指導（２）,3,ふどのふどう
トナリはなにを食う人ぞ　ほろよい（４）,3,ふじつか雪
陰の花は檻に咲く（３・完）,3,羽野ちせ
学園ベビーシッターズ（20）,3,時計野はり
天堂家物語（７）,3,斎藤けん
不祥事アイドル（１）,3,慎本真
きみは面倒な婚約者（１）,3,椎野翠／兎山もなか
マギア☆レポート（３）,3,Ｍａｇｉｃａ　Ｑｕａｒｔｅｔ／ＰＡＰＡ
Lv1魔王とワンルーム勇者（２）,3,ｔｏｕｆｕ
きららファンタジア（１）,3,きららファンタジア製作委員会／鴻巣覚
就活、同棲、まいにちごはん（２）,3,まえじま
ゴルゴ13（196）腐食鉄鋼,3,さいとう・たかを
進撃の相談室　13歳からの「戦略論」,6,工藤拓真／諫山創
総天然色　バカ姉弟（３）,6,安達哲
1日外出録ハンチョウ（８）,6,上原求／新井和也ほか
グレイプニル（８）,6,武田すん
ソウナンですか？（６）,6,さがら梨々／岡本健太郎
もんもん飯（２）,6,ナタでココ
皆殺しのアーサー（２）,6,古閑裕一郎
契れないひと（２）,6,たかたけし
喧嘩稼業（13）,6,木多康昭
新・信長公記～ノブナガくんと私～（４）,6,甲斐谷忍
神さまの恋人（５）,6,伊賀大晃／月山可也
乃木坂の詩　episode1 ―きっかけ―（２）,6,御池慧／秋元康
彼岸島　48日後…（24）,6,松本光司
明日のエサ　キミだから（４）,6,若杉公徳
くろタイツWIDE,6,よむ
はやめブラストギア（８・完）,6,竹山祐右
しーちゃんの青春ごはん（１）,6,たかなししずえ
大嫌い、なのにあそこがきゅぅってなる（下）,6,伊月一
大嫌い、なのにあそこがきゅぅってなる（上）,6,伊月一
その台詞には愛が無い,6,さはら鋏
みんなのえっちな管理人さん！,6,雨宮かよう
ON AIR’S（１）,7,嘉村田逸名
サメガール（１）,7,雪本愁二
能力　主人公補正（１）,7,鬼頭莫宏／当麻
ごほうびは躾のあと,7,にやま
千夜一夜アラビアントゥナイト,7,拳
眼鏡上司にとことん調教されました。　愛されアラサー女子は夜に啼く（仮）,7,まりきち／佐々千尋
毎夜、俺様カレとベッドの中で（仮）,7,稲本いねこ
おしかけツインテール（５）,7,高津ケイタ
おとぼけ部長代理（２）,7,植田まさし
ちっちゃい彼女先輩が可愛すぎる。,7,あきばるいき
ケムリが目にしみる（２・完）,7,飯田ヨネ
鬼平犯科帳（70）,7,さいとう・たかを／池波正太郎
BEASTARS（18）,8,板垣巴留
BREAK BACK（７）,8,ＫＡＳＡ
あっぱれ！浦安鉄筋家族（６）,8,浜岡賢次
クワトロバッテリー（１）,8,高嶋栄充
チャンピオンズ～週刊少年チャンピオンを創った男たちの物語～,8,魚乃目三太
もういっぽん！（７）,8,村岡ユウ
吸血姫まひるちゃん（１）,8,珠奇
弱虫ペダル（66）,8,渡辺航
足芸少女こむらさん（４・完）,8,灰刃ねむみ
